time,open,high,low,close,volume
1675209600,1927.198,1927.298,1927.025,1927.225,0.01
1675209660,1927.205,1927.475,1927.098,1927.415,0.01
1675209720,1927.405,1927.405,1927.275,1927.345,0.00
1675209780,1927.345,1927.785,1927.265,1927.785,0.01
1675209840,1927.785,1927.885,1927.485,1927.575,0.01
1675209900,1927.625,1927.895,1927.295,1927.655,0.01
1675209960,1927.685,1927.705,1927.625,1927.695,0.00
1675210020,1927.685,1927.775,1927.475,1927.535,0.00
1675210080,1927.525,1927.635,1927.525,1927.635,0.00
1675210140,1927.645,1927.755,1927.615,1927.625,0.00
1675210200,1927.645,1927.645,1927.398,1927.398,0.00
1675210260,1927.398,1927.398,1927.025,1927.118,0.01
1675210320,1927.118,1927.198,1926.898,1927.098,0.01
1675210380,1927.098,1927.218,1927.008,1927.028,0.01
1675210440,1927.028,1927.198,1927.028,1927.198,0.01
1675210500,1927.145,1927.198,1926.998,1926.998,0.01
1675210560,1926.998,1926.998,1926.798,1926.798,0.01
1675210620,1926.808,1926.898,1926.798,1926.798,0.01
1675210680,1926.805,1926.818,1926.698,1926.798,0.01
1675210740,1926.798,1926.798,1926.598,1926.698,0.01
1675210800,1926.698,1926.698,1926.605,1926.698,0.01
1675210860,1926.698,1926.698,1926.615,1926.615,0.00
1675210920,1926.625,1926.625,1926.485,1926.498,0.01
1675210980,1926.498,1926.698,1926.498,1926.615,0.01
1675211040,1926.625,1926.998,1926.625,1926.998,0.01
1675211100,1926.937,1926.948,1926.705,1926.798,0.01
1675211160,1926.815,1926.898,1926.798,1926.798,0.00
1675211220,1926.765,1926.798,1926.598,1926.598,0.01
1675211280,1926.598,1926.998,1926.598,1926.855,0.01
1675211340,1926.875,1927.195,1926.845,1927.015,0.01
1675211400,1926.985,1927.165,1926.945,1927.125,0.00
1675211460,1927.135,1927.435,1927.098,1927.425,0.00
1675211520,1927.415,1927.455,1927.315,1927.445,0.00
1675211580,1927.435,1927.645,1927.385,1927.545,0.00
1675211640,1927.648,1928.025,1927.598,1928.025,0.01
1675211700,1928.045,1928.055,1927.725,1927.895,0.01
1675211760,1927.875,1927.875,1927.455,1927.568,0.01
1675211820,1927.575,1927.625,1927.498,1927.565,0.00
1675211880,1927.515,1927.575,1927.355,1927.465,0.00
1675211940,1927.475,1927.675,1927.475,1927.585,0.00
1675212000,1927.575,1927.595,1927.405,1927.445,0.00
1675212060,1927.475,1927.475,1927.395,1927.465,0.00
1675212120,1927.498,1927.685,1927.498,1927.675,0.00
1675212180,1927.645,1927.735,1927.515,1927.575,0.01
1675212240,1927.535,1927.595,1927.505,1927.585,0.00
1675212300,1927.605,1927.805,1927.475,1927.525,0.00
1675212360,1927.535,1927.575,1927.525,1927.555,0.00
1675212420,1927.585,1927.715,1927.545,1927.555,0.00
1675212480,1927.555,1927.645,1927.185,1927.185,0.01
1675212540,1927.185,1927.435,1927.095,1927.295,0.01
1675212600,1927.295,1927.295,1927.085,1927.135,0.01
1675212660,1927.125,1927.605,1927.125,1927.505,0.00
1675212720,1927.475,1927.475,1927.125,1927.285,0.01
1675212780,1927.305,1927.595,1927.295,1927.525,0.01
