time,open,high,low,close,volume
1551398400,0.682,0.682,0.682,0.682,134.22
1551398460,0.682,0.682,0.682,0.682,119.31
1551398520,0.682,0.682,0.682,0.682,125.71
1551398580,0.682,0.682,0.681,0.681,169.13
1551398640,0.681,0.681,0.681,0.681,57.32
1551398700,0.681,0.682,0.681,0.682,26.00
1551398760,0.682,0.682,0.681,0.681,49.38
1551398820,0.681,0.681,0.681,0.681,83.27
1551398880,0.681,0.681,0.681,0.681,58.18
1551398940,0.681,0.681,0.681,0.681,35.40
1551399000,0.681,0.681,0.681,0.681,68.29
1551399060,0.681,0.682,0.681,0.682,115.65
1551399120,0.682,0.682,0.682,0.682,61.98
1551399180,0.682,0.682,0.682,0.682,71.69
1551399240,0.682,0.682,0.682,0.682,79.76
1551399300,0.682,0.682,0.682,0.682,26.38
1551399360,0.682,0.682,0.682,0.682,51.89
1551399420,0.682,0.682,0.682,0.682,50.93
1551399480,0.682,0.682,0.682,0.682,86.93
1551399540,0.682,0.682,0.682,0.682,90.24
1551399600,0.682,0.682,0.682,0.682,36.03
1551399660,0.682,0.682,0.682,0.682,36.52
1551399720,0.682,0.682,0.682,0.682,88.07
1551399780,0.682,0.682,0.682,0.682,40.00
1551399840,0.682,0.682,0.682,0.682,44.35
1551399900,0.682,0.682,0.682,0.682,79.81
1551399960,0.682,0.682,0.681,0.682,96.66
1551400020,0.682,0.682,0.681,0.681,41.42
1551400080,0.681,0.681,0.681,0.681,70.78
1551400140,0.681,0.681,0.681,0.681,44.53
1551400200,0.681,0.681,0.681,0.681,35.31
1551400260,0.681,0.681,0.681,0.681,51.16
1551400320,0.681,0.681,0.681,0.681,57.61
1551400380,0.681,0.681,0.681,0.681,47.67
1551400440,0.681,0.681,0.681,0.681,76.66
1551400500,0.681,0.681,0.681,0.681,83.36
1551400560,0.681,0.681,0.681,0.681,89.59
1551400620,0.681,0.681,0.681,0.681,142.96
1551400680,0.681,0.681,0.681,0.681,103.55
1551400740,0.681,0.681,0.681,0.681,65.29
1551400800,0.681,0.681,0.681,0.681,33.14
1551400860,0.681,0.681,0.681,0.681,69.08
1551400920,0.681,0.681,0.681,0.681,73.85
1551400980,0.681,0.681,0.681,0.681,80.48
1551401040,0.681,0.681,0.681,0.681,22.66
