time,open,high,low,close,volume
1635724800,0.718,0.718,0.718,0.718,97.19
1635724860,0.718,0.718,0.718,0.718,62.81
1635724920,0.718,0.718,0.718,0.718,61.31
1635724980,0.718,0.718,0.718,0.718,49.36
1635725040,0.718,0.718,0.718,0.718,55.55
1635725100,0.718,0.718,0.718,0.718,46.75
1635725160,0.718,0.718,0.718,0.718,49.16
1635725220,0.718,0.718,0.718,0.718,37.00
1635725280,0.718,0.718,0.718,0.718,56.37
1635725340,0.718,0.718,0.718,0.718,32.13
1635725400,0.718,0.718,0.718,0.718,58.48
1635725460,0.718,0.718,0.718,0.718,48.24
1635725520,0.718,0.718,0.717,0.718,36.72
1635725580,0.718,0.718,0.717,0.717,48.30
1635725640,0.717,0.718,0.717,0.718,54.69
1635725700,0.718,0.718,0.718,0.718,76.67
1635725760,0.718,0.718,0.718,0.718,34.49
1635725820,0.718,0.718,0.718,0.718,43.60
1635725880,0.718,0.718,0.718,0.718,72.54
1635725940,0.718,0.718,0.717,0.717,37.49
1635726000,0.717,0.718,0.717,0.717,57.40
1635726060,0.717,0.717,0.717,0.717,40.87
1635726120,0.717,0.718,0.717,0.718,40.75
1635726180,0.718,0.718,0.718,0.718,31.50
1635726240,0.718,0.718,0.717,0.717,41.20
1635726300,0.717,0.718,0.717,0.717,64.62
1635726360,0.717,0.718,0.717,0.718,55.04
1635726420,0.718,0.718,0.717,0.717,25.43
1635726480,0.717,0.717,0.717,0.717,8.25
1635726540,0.717,0.717,0.717,0.717,43.87
1635726600,0.717,0.717,0.717,0.717,42.43
1635726660,0.717,0.717,0.717,0.717,10.00
1635726720,0.717,0.717,0.717,0.717,26.37
1635726780,0.717,0.717,0.717,0.717,37.90
1635726840,0.717,0.717,0.717,0.717,22.62
1635726900,0.717,0.717,0.717,0.717,36.12
1635726960,0.717,0.717,0.717,0.717,34.56
1635727020,0.717,0.717,0.717,0.717,28.68
1635727080,0.717,0.717,0.717,0.717,14.25
1635727140,0.717,0.717,0.717,0.717,18.00
1635727200,0.717,0.717,0.717,0.717,48.49
1635727260,0.717,0.717,0.717,0.717,27.69
1635727320,0.717,0.717,0.717,0.717,28.88
1635727380,0.717,0.717,0.717,0.717,20.75
1635727440,0.717,0.717,0.717,0.717,25.31
1635727500,0.717,0.717,0.717,0.717,151.35
1635727560,0.717,0.717,0.717,0.717,92.82
1635727620,0.717,0.717,0.717,0.717,60.54
1635727680,0.717,0.717,0.717,0.717,55.54
1635727740,0.717,0.717,0.717,0.717,24.31
1635727800,0.717,0.717,0.716,0.717,39.36
1635727860,0.717,0.717,0.717,0.717,42.67
1635727920,0.717,0.717,0.716,0.717,42.10
1635727980,0.717,0.717,0.716,0.716,57.21
1635728040,0.716,0.716,0.716,0.716,186.00
1635728100,0.716,0.716,0.716,0.716,125.75
1635728160,0.716,0.717,0.716,0.716,51.75
1635728220,0.716,0.716,0.716,0.716,33.44
1635728280,0.716,0.716,0.716,0.716,51.50
1635728340,0.716,0.717,0.716,0.716,65.11
1635728400,0.716,0.716,0.716,0.716,59.49
1635728460,0.716,0.716,0.716,0.716,29.00
1635728520,0.716,0.717,0.716,0.717,81.94
1635728580,0.717,0.717,0.717,0.717,42.00
1635728640,0.717,0.717,0.717,0.717,60.87
1635728700,0.717,0.717,0.717,0.717,29.25
1635728760,0.717,0.717,0.717,0.717,15.00
1635728820,0.717,0.717,0.717,0.717,34.94
1635728880,0.717,0.717,0.717,0.717,47.00
1635728940,0.717,0.717,0.717,0.717,19.25
1635729000,0.717,0.717,0.717,0.717,45.25
1635729060,0.717,0.717,0.717,0.717,58.73
1635729120,0.717,0.717,0.717,0.717,50.17
1635729180,0.717,0.717,0.717,0.717,48.99
1635729240,0.717,0.717,0.717,0.717,84.02
1635729300,0.717,0.717,0.717,0.717,64.17
1635729360,0.717,0.717,0.717,0.717,67.11
1635729420,0.717,0.717,0.717,0.717,17.87
1635729480,0.717,0.717,0.717,0.717,58.99
1635729540,0.717,0.717,0.717,0.717,83.94
1635729600,0.717,0.717,0.717,0.717,38.38
1635729660,0.717,0.717,0.717,0.717,20.37
1635729720,0.717,0.717,0.717,0.717,53.48
1635729780,0.717,0.717,0.717,0.717,5.25
1635729840,0.717,0.717,0.717,0.717,58.86
1635729900,0.717,0.717,0.717,0.717,14.75
1635729960,0.717,0.717,0.717,0.717,48.92
1635730020,0.717,0.717,0.717,0.717,43.74
1635730080,0.717,0.717,0.717,0.717,104.05
1635730140,0.717,0.717,0.717,0.717,68.61
1635730200,0.717,0.717,0.717,0.717,91.59
1635730260,0.717,0.717,0.716,0.717,81.93
1635730320,0.717,0.717,0.717,0.717,56.00
1635730380,0.717,0.717,0.717,0.717,73.25
1635730440,0.717,0.717,0.717,0.717,50.00
1635730500,0.717,0.717,0.717,0.717,60.62
1635730560,0.717,0.717,0.717,0.717,46.94
1635730620,0.717,0.717,0.717,0.717,46.50
1635730680,0.717,0.717,0.717,0.717,55.31
1635730740,0.717,0.717,0.717,0.717,50.69
1635730800,0.717,0.717,0.717,0.717,50.25
1635730860,0.717,0.717,0.717,0.717,35.81
1635730920,0.717,0.717,0.717,0.717,25.37
1635730980,0.717,0.717,0.717,0.717,37.75
1635731040,0.717,0.717,0.717,0.717,30.75
1635731100,0.717,0.717,0.717,0.717,73.05
1635731160,0.717,0.717,0.717,0.717,26.00
1635731220,0.717,0.717,0.717,0.717,48.74
1635731280,0.717,0.717,0.717,0.717,166.05
1635731340,0.717,0.717,0.717,0.717,151.11
1635731400,0.717,0.717,0.717,0.717,66.27
1635731460,0.717,0.717,0.717,0.717,81.18
1635731520,0.717,0.717,0.717,0.717,78.99
1635731580,0.717,0.717,0.717,0.717,115.87
1635731640,0.717,0.717,0.717,0.717,74.37
1635731700,0.717,0.717,0.717,0.717,54.14
1635731760,0.717,0.717,0.717,0.717,49.31
1635731820,0.717,0.717,0.717,0.717,29.83
1635731880,0.717,0.717,0.717,0.717,35.35
1635731940,0.717,0.717,0.717,0.717,70.06
1635732000,0.717,0.717,0.717,0.717,87.81
1635732060,0.717,0.717,0.717,0.717,79.83
1635732120,0.717,0.717,0.717,0.717,49.49
1635732180,0.717,0.717,0.717,0.717,41.24
1635732240,0.717,0.717,0.717,0.717,42.83
1635732300,0.717,0.717,0.717,0.717,39.07
1635732360,0.717,0.717,0.717,0.717,47.42
1635732420,0.717,0.717,0.717,0.717,55.05
1635732480,0.717,0.717,0.717,0.717,72.82
1635732540,0.717,0.717,0.717,0.717,89.62
1635732600,0.717,0.718,0.717,0.718,48.99
1635732660,0.718,0.718,0.717,0.717,54.99
1635732720,0.717,0.718,0.717,0.717,21.87
1635732780,0.717,0.717,0.717,0.717,57.44
1635732840,0.717,0.717,0.717,0.717,161.93
1635732900,0.717,0.717,0.717,0.717,56.22
1635732960,0.717,0.717,0.717,0.717,71.84
1635733020,0.717,0.717,0.717,0.717,70.34
1635733080,0.717,0.717,0.717,0.717,54.88
1635733140,0.717,0.717,0.717,0.717,64.47
1635733200,0.717,0.717,0.717,0.717,71.65
1635733260,0.717,0.717,0.717,0.717,79.86
1635733320,0.717,0.717,0.717,0.717,236.36
1635733380,0.717,0.717,0.717,0.717,81.65
1635733440,0.717,0.717,0.717,0.717,53.87
1635733500,0.717,0.717,0.717,0.717,70.92
1635733560,0.717,0.717,0.717,0.717,27.56
1635733620,0.717,0.717,0.717,0.717,64.29
1635733680,0.717,0.717,0.717,0.717,77.73
1635733740,0.717,0.717,0.717,0.717,64.49
1635733800,0.717,0.717,0.717,0.717,55.81
1635733860,0.717,0.717,0.717,0.717,56.74
1635733920,0.717,0.717,0.717,0.717,38.91
1635733980,0.717,0.717,0.717,0.717,25.00
1635734040,0.717,0.717,0.717,0.717,72.91
1635734100,0.717,0.717,0.717,0.717,52.76
1635734160,0.717,0.717,0.717,0.717,28.87
1635734220,0.717,0.717,0.717,0.717,43.80
1635734280,0.717,0.717,0.717,0.717,31.55
1635734340,0.717,0.717,0.717,0.717,69.80
1635734400,0.717,0.717,0.717,0.717,44.37
1635734460,0.717,0.717,0.717,0.717,68.67
1635734520,0.717,0.717,0.717,0.717,53.69
1635734580,0.717,0.717,0.717,0.717,54.37
1635734640,0.717,0.717,0.717,0.717,96.52
1635734700,0.717,0.717,0.717,0.717,46.42
1635734760,0.717,0.717,0.717,0.717,50.80
1635734820,0.717,0.717,0.717,0.717,21.00
1635734880,0.717,0.717,0.717,0.717,56.49
1635734940,0.717,0.717,0.717,0.717,27.61
1635735000,0.717,0.717,0.717,0.717,26.25
1635735060,0.717,0.717,0.717,0.717,12.24
1635735120,0.717,0.717,0.717,0.717,30.38
1635735180,0.717,0.717,0.717,0.717,29.25
1635735240,0.717,0.717,0.717,0.717,29.11
1635735300,0.717,0.717,0.717,0.717,21.74
1635735360,0.717,0.717,0.717,0.717,32.75
1635735420,0.717,0.717,0.717,0.717,24.62
1635735480,0.717,0.717,0.717,0.717,24.94
1635735540,0.717,0.717,0.717,0.717,30.63
1635735600,0.717,0.717,0.717,0.717,29.55
1635735660,0.717,0.717,0.717,0.717,34.49
1635735720,0.717,0.717,0.717,0.717,28.57
1635735780,0.717,0.717,0.717,0.717,42.04
1635735840,0.717,0.717,0.717,0.717,26.62
1635735900,0.717,0.717,0.717,0.717,60.43
1635735960,0.717,0.717,0.717,0.717,57.49
1635736020,0.717,0.717,0.717,0.717,83.85
1635736080,0.717,0.717,0.717,0.717,71.93
1635736140,0.717,0.717,0.717,0.717,32.66
1635736200,0.717,0.717,0.717,0.717,38.05
1635736260,0.717,0.717,0.717,0.717,28.75
1635736320,0.717,0.717,0.717,0.717,17.75
1635736380,0.717,0.717,0.717,0.717,44.21
1635736440,0.717,0.717,0.717,0.717,70.23
1635736500,0.717,0.717,0.717,0.717,44.62
1635736560,0.717,0.717,0.717,0.717,48.91
1635736620,0.717,0.717,0.717,0.717,18.93
1635736680,0.717,0.717,0.717,0.717,23.64
1635736740,0.717,0.717,0.717,0.717,27.14
1635736800,0.717,0.717,0.717,0.717,29.06
1635736860,0.717,0.717,0.717,0.717,42.44
1635736920,0.717,0.717,0.717,0.717,15.00
1635736980,0.717,0.717,0.717,0.717,14.00
1635737040,0.717,0.717,0.717,0.717,9.00
1635737100,0.717,0.717,0.717,0.717,34.17
1635737160,0.717,0.717,0.717,0.717,28.25
1635737220,0.717,0.717,0.717,0.717,34.11
1635737280,0.717,0.717,0.717,0.717,23.30
1635737340,0.717,0.717,0.717,0.717,20.56
1635737400,0.717,0.717,0.717,0.717,15.50
1635737460,0.717,0.717,0.717,0.717,16.19
1635737520,0.717,0.717,0.717,0.717,18.19
1635737580,0.717,0.717,0.717,0.717,24.94
1635737640,0.717,0.717,0.717,0.717,19.75
1635737700,0.717,0.717,0.717,0.717,14.38
1635737760,0.717,0.717,0.717,0.717,6.94
1635737820,0.717,0.717,0.717,0.717,31.26
1635737880,0.717,0.717,0.717,0.717,9.87
1635737940,0.717,0.717,0.717,0.717,16.31
1635738000,0.717,0.717,0.717,0.717,11.00
1635738060,0.717,0.717,0.717,0.717,13.25
1635738120,0.717,0.717,0.717,0.717,11.00
1635738180,0.717,0.717,0.717,0.717,13.00
1635738240,0.717,0.717,0.717,0.717,13.00
1635738300,0.717,0.717,0.717,0.717,12.00
1635738360,0.717,0.717,0.717,0.717,15.50
1635738420,0.717,0.717,0.717,0.717,19.62
1635738480,0.717,0.717,0.717,0.717,10.69
1635738540,0.717,0.717,0.717,0.717,23.94
1635738600,0.717,0.717,0.717,0.717,12.25
1635738660,0.717,0.717,0.717,0.717,27.56
1635738720,0.717,0.717,0.717,0.717,16.76
1635738780,0.717,0.717,0.717,0.717,17.13
1635738840,0.717,0.717,0.717,0.717,18.38
1635738900,0.717,0.717,0.717,0.717,25.57
1635738960,0.717,0.717,0.717,0.717,23.25
1635739020,0.717,0.717,0.717,0.717,14.25
1635739080,0.717,0.717,0.717,0.717,14.25
1635739140,0.717,0.717,0.717,0.717,24.25
1635739200,0.717,0.717,0.717,0.717,19.37
1635739260,0.717,0.717,0.717,0.717,20.94
1635739320,0.717,0.717,0.717,0.717,16.70
1635739380,0.717,0.717,0.717,0.717,27.94
1635739440,0.717,0.717,0.717,0.717,25.00
1635739500,0.717,0.717,0.717,0.717,32.56
1635739560,0.717,0.717,0.717,0.717,23.00
1635739620,0.717,0.717,0.717,0.717,29.50
1635739680,0.717,0.717,0.717,0.717,9.00
1635739740,0.717,0.717,0.717,0.717,25.25
1635739800,0.717,0.717,0.717,0.717,20.25
1635739860,0.717,0.717,0.717,0.717,29.37
1635739920,0.717,0.717,0.717,0.717,43.00
1635739980,0.717,0.717,0.717,0.717,39.50
1635740040,0.717,0.717,0.717,0.717,38.25
1635740100,0.717,0.717,0.716,0.716,48.87
1635740160,0.716,0.717,0.716,0.716,43.12
1635740220,0.716,0.716,0.716,0.716,49.00
1635740280,0.716,0.716,0.716,0.716,42.00
1635740340,0.716,0.716,0.716,0.716,24.75
1635740400,0.716,0.716,0.716,0.716,62.50
1635740460,0.716,0.716,0.716,0.716,27.00
1635740520,0.716,0.716,0.716,0.716,38.00
1635740580,0.716,0.716,0.716,0.716,45.00
1635740640,0.716,0.716,0.716,0.716,49.18
1635740700,0.716,0.716,0.716,0.716,91.54
1635740760,0.716,0.716,0.716,0.716,42.25
1635740820,0.716,0.716,0.716,0.716,17.00
1635740880,0.716,0.716,0.716,0.716,12.00
1635740940,0.716,0.716,0.716,0.716,4.25
1635741000,0.716,0.716,0.716,0.716,14.00
1635741060,0.716,0.716,0.716,0.716,18.00
1635741120,0.716,0.716,0.716,0.716,14.75
1635741180,0.716,0.716,0.716,0.716,14.00
1635741240,0.716,0.716,0.716,0.716,20.24
1635741300,0.716,0.716,0.716,0.716,14.50
1635741360,0.716,0.716,0.716,0.716,8.25
1635741420,0.716,0.716,0.716,0.716,20.37
1635741480,0.716,0.716,0.716,0.716,16.69
1635741540,0.716,0.716,0.716,0.716,10.75
1635741600,0.716,0.716,0.716,0.716,27.24
1635741660,0.716,0.716,0.716,0.716,25.67
1635741720,0.716,0.716,0.716,0.716,33.44
1635741780,0.716,0.716,0.716,0.716,14.06
1635741840,0.716,0.716,0.716,0.716,39.24
1635741900,0.716,0.716,0.716,0.716,25.20
1635741960,0.716,0.716,0.716,0.716,9.44
1635742020,0.716,0.716,0.716,0.716,21.88
1635742080,0.716,0.717,0.716,0.716,29.45
1635742140,0.716,0.716,0.716,0.716,29.13
1635742200,0.716,0.716,0.716,0.716,3.24
1635742260,0.716,0.716,0.716,0.716,25.12
1635742320,0.716,0.716,0.716,0.716,19.45
1635742380,0.716,0.716,0.716,0.716,23.26
1635742440,0.716,0.716,0.716,0.716,11.24
1635742500,0.716,0.716,0.716,0.716,20.74
1635742560,0.716,0.716,0.716,0.716,24.62
1635742620,0.716,0.716,0.716,0.716,21.63
1635742680,0.716,0.717,0.716,0.717,18.62
1635742740,0.716,0.717,0.716,0.716,19.81
1635742800,0.717,0.717,0.717,0.717,27.48
1635742860,0.717,0.717,0.717,0.717,21.37
1635742920,0.717,0.717,0.717,0.717,23.61
1635742980,0.717,0.717,0.717,0.717,20.12
1635743040,0.717,0.717,0.717,0.717,42.03
1635743100,0.717,0.717,0.717,0.717,69.25
