time,open,high,low,close,volume
1548979200,1.14482,1.14484,1.14474,1.14484,164.43
1548979260,1.14483,1.14484,1.14478,1.14478,144.65
1548979320,1.14478,1.14483,1.14478,1.14482,149.36
1548979380,1.14482,1.14483,1.14476,1.14477,135.21
1548979440,1.14477,1.14477,1.14473,1.14475,79.13
1548979500,1.14477,1.14479,1.14470,1.14470,69.69
1548979560,1.14470,1.14470,1.14463,1.14463,141.65
1548979620,1.14463,1.14468,1.14462,1.14467,34.48
1548979680,1.14468,1.14470,1.14466,1.14466,80.75
1548979740,1.14467,1.14468,1.14466,1.14468,69.50
1548979800,1.14467,1.14468,1.14463,1.14468,160.83
1548979860,1.14468,1.14469,1.14467,1.14469,85.09
1548979920,1.14468,1.14475,1.14468,1.14473,77.83
1548979980,1.14474,1.14474,1.14467,1.14473,194.00
1548980040,1.14473,1.14484,1.14473,1.14482,197.04
1548980100,1.14482,1.14483,1.14472,1.14472,78.03
1548980160,1.14473,1.14486,1.14473,1.14486,101.71
1548980220,1.14485,1.14487,1.14484,1.14485,31.70
1548980280,1.14485,1.14488,1.14484,1.14488,52.45
1548980340,1.14488,1.14494,1.14488,1.14494,91.70
1548980400,1.14494,1.14495,1.14488,1.14488,71.75
1548980460,1.14488,1.14489,1.14488,1.14489,33.13
1548980520,1.14489,1.14490,1.14480,1.14482,78.32
1548980580,1.14482,1.14485,1.14479,1.14484,80.21
1548980640,1.14484,1.14493,1.14484,1.14493,46.36
1548980700,1.14494,1.14494,1.14481,1.14484,131.22
1548980760,1.14484,1.14485,1.14484,1.14485,53.02
1548980820,1.14485,1.14485,1.14483,1.14484,57.02
1548980880,1.14484,1.14484,1.14475,1.14475,47.66
1548980940,1.14475,1.14480,1.14474,1.14479,78.19
1548981000,1.14479,1.14483,1.14478,1.14480,96.06
1548981060,1.14479,1.14485,1.14479,1.14484,45.54
1548981120,1.14484,1.14499,1.14484,1.14499,120.81
1548981180,1.14497,1.14497,1.14493,1.14493,106.19
1548981240,1.14494,1.14499,1.14489,1.14491,168.36
1548981300,1.14490,1.14490,1.14483,1.14483,198.85
1548981360,1.14484,1.14488,1.14483,1.14487,167.30
1548981420,1.14488,1.14490,1.14484,1.14490,74.99
1548981480,1.14489,1.14492,1.14487,1.14488,124.25
1548981540,1.14489,1.14490,1.14487,1.14488,164.39
1548981600,1.14489,1.14492,1.14485,1.14490,163.21
1548981660,1.14491,1.14495,1.14489,1.14491,108.06
1548981720,1.14490,1.14490,1.14483,1.14483,83.56
1548981780,1.14484,1.14485,1.14480,1.14480,91.33
1548981840,1.14480,1.14481,1.14478,1.14480,67.84
1548981900,1.14479,1.14479,1.14478,1.14478,89.66
1548981960,1.14478,1.14478,1.14474,1.14475,81.13
1548982020,1.14476,1.14479,1.14473,1.14474,97.81
1548982080,1.14475,1.14475,1.14473,1.14474,46.94
1548982140,1.14473,1.14476,1.14473,1.14474,80.17
1548982200,1.14475,1.14475,1.14473,1.14474,63.96
1548982260,1.14473,1.14478,1.14473,1.14475,150.52
1548982320,1.14474,1.14483,1.14474,1.14482,103.90
1548982380,1.14482,1.14491,1.14482,1.14489,140.78
1548982440,1.14490,1.14490,1.14476,1.14478,253.69
1548982500,1.14477,1.14491,1.14470,1.14490,251.09
1548982560,1.14490,1.14494,1.14487,1.14488,271.57
1548982620,1.14488,1.14488,1.14476,1.14476,117.09
1548982680,1.14476,1.14485,1.14476,1.14481,201.59
1548982740,1.14481,1.14483,1.14474,1.14481,171.74
1548982800,1.14482,1.14485,1.14477,1.14484,125.64
1548982860,1.14484,1.14488,1.14483,1.14488,109.63
1548982920,1.14489,1.14489,1.14482,1.14483,86.06
1548982980,1.14483,1.14488,1.14483,1.14484,53.43
1548983040,1.14483,1.14483,1.14478,1.14478,129.69
1548983100,1.14479,1.14479,1.14468,1.14468,175.15
1548983160,1.14468,1.14469,1.14452,1.14452,85.60
1548983220,1.14453,1.14458,1.14452,1.14457,145.52
1548983280,1.14458,1.14458,1.14457,1.14457,80.68
1548983340,1.14457,1.14459,1.14457,1.14458,69.02
1548983400,1.14458,1.14463,1.14457,1.14462,64.84
1548983460,1.14463,1.14464,1.14458,1.14459,99.92
1548983520,1.14459,1.14463,1.14457,1.14457,83.84
1548983580,1.14459,1.14459,1.14458,1.14458,34.73
1548983640,1.14458,1.14458,1.14453,1.14453,148.68
1548983700,1.14454,1.14458,1.14453,1.14453,206.30
1548983760,1.14453,1.14458,1.14451,1.14458,217.07
1548983820,1.14459,1.14459,1.14449,1.14451,68.92
1548983880,1.14449,1.14455,1.14448,1.14453,77.68
1548983940,1.14453,1.14454,1.14453,1.14453,59.53
1548984000,1.14453,1.14459,1.14453,1.14456,142.68
1548984060,1.14456,1.14456,1.14453,1.14454,110.17
1548984120,1.14454,1.14459,1.14453,1.14458,62.98
1548984180,1.14458,1.14461,1.14458,1.14459,70.22
1548984240,1.14458,1.14461,1.14457,1.14458,161.98
1548984300,1.14458,1.14459,1.14457,1.14458,45.71
1548984360,1.14459,1.14462,1.14446,1.14460,222.43
1548984420,1.14460,1.14463,1.14440,1.14440,295.20
1548984480,1.14440,1.14445,1.14437,1.14445,275.16
1548984540,1.14444,1.14446,1.14438,1.14438,219.46
1548984600,1.14439,1.14445,1.14439,1.14443,146.49
1548984660,1.14443,1.14445,1.14442,1.14445,152.18
1548984720,1.14444,1.14448,1.14433,1.14433,287.46
1548984780,1.14433,1.14434,1.14423,1.14424,408.32
1548984840,1.14424,1.14436,1.14417,1.14422,358.34
1548984900,1.14422,1.14426,1.14415,1.14418,153.91
1548984960,1.14419,1.14428,1.14416,1.14417,287.32
1548985020,1.14417,1.14417,1.14397,1.14397,383.58
1548985080,1.14396,1.14405,1.14391,1.14392,303.72
1548985140,1.14393,1.14394,1.14377,1.14381,535.45
1548985200,1.14382,1.14392,1.14381,1.14391,336.88
1548985260,1.14391,1.14393,1.14390,1.14390,47.94
1548985320,1.14392,1.14392,1.14386,1.14387,125.81
1548985380,1.14387,1.14398,1.14387,1.14396,170.73
1548985440,1.14398,1.14404,1.14397,1.14403,168.47
1548985500,1.14403,1.14403,1.14377,1.14382,397.22
1548985560,1.14382,1.14395,1.14378,1.14392,223.56
1548985620,1.14392,1.14407,1.14390,1.14390,421.63
1548985680,1.14390,1.14410,1.14389,1.14410,297.37
1548985740,1.14410,1.14415,1.14404,1.14415,303.82
1548985800,1.14415,1.14418,1.14404,1.14412,391.92
1548985860,1.14414,1.14432,1.14414,1.14425,313.86
1548985920,1.14425,1.14435,1.14424,1.14429,271.82
1548985980,1.14429,1.14439,1.14429,1.14435,302.24
1548986040,1.14434,1.14436,1.14424,1.14430,305.32
1548986100,1.14431,1.14432,1.14424,1.14429,217.91
1548986160,1.14428,1.14429,1.14419,1.14420,226.26
1548986220,1.14420,1.14434,1.14419,1.14434,264.20
1548986280,1.14434,1.14436,1.14428,1.14429,210.16
1548986340,1.14429,1.14431,1.14425,1.14425,363.84
1548986400,1.14425,1.14432,1.14420,1.14420,393.85
1548986460,1.14420,1.14426,1.14417,1.14419,149.96
1548986520,1.14419,1.14419,1.14393,1.14395,309.28
1548986580,1.14397,1.14407,1.14392,1.14406,386.95
1548986640,1.14406,1.14411,1.14401,1.14410,261.25
1548986700,1.14409,1.14415,1.14409,1.14414,178.48
1548986760,1.14415,1.14424,1.14413,1.14419,217.94
1548986820,1.14418,1.14428,1.14415,1.14421,261.90
1548986880,1.14421,1.14428,1.14415,1.14415,246.51
1548986940,1.14416,1.14416,1.14408,1.14413,230.43
1548987000,1.14414,1.14416,1.14388,1.14390,334.14
1548987060,1.14391,1.14396,1.14381,1.14389,401.48
1548987120,1.14389,1.14395,1.14388,1.14388,160.48
1548987180,1.14388,1.14394,1.14385,1.14388,243.74
1548987240,1.14386,1.14403,1.14385,1.14397,204.79
1548987300,1.14398,1.14399,1.14390,1.14395,226.72
1548987360,1.14395,1.14395,1.14378,1.14379,221.62
1548987420,1.14380,1.14391,1.14379,1.14389,142.82
1548987480,1.14390,1.14395,1.14390,1.14393,234.90
1548987540,1.14394,1.14400,1.14394,1.14396,223.44
1548987600,1.14396,1.14405,1.14396,1.14404,219.91
1548987660,1.14404,1.14416,1.14404,1.14414,327.49
1548987720,1.14415,1.14425,1.14414,1.14419,436.11
1548987780,1.14418,1.14430,1.14416,1.14430,327.69
1548987840,1.14429,1.14431,1.14426,1.14426,173.40
1548987900,1.14426,1.14427,1.14415,1.14425,189.77
1548987960,1.14424,1.14428,1.14419,1.14419,171.69
1548988020,1.14419,1.14429,1.14419,1.14429,115.37
1548988080,1.14429,1.14429,1.14414,1.14415,245.59
1548988140,1.14414,1.14421,1.14414,1.14415,282.11
1548988200,1.14415,1.14420,1.14410,1.14420,213.83
1548988260,1.14419,1.14425,1.14409,1.14409,205.96
1548988320,1.14410,1.14411,1.14408,1.14411,72.02
1548988380,1.14410,1.14413,1.14403,1.14403,136.74
1548988440,1.14404,1.14409,1.14400,1.14408,144.37
1548988500,1.14408,1.14408,1.14398,1.14404,119.56
