time,open,high,low,close,volume
1609711200,1.224,1.224,1.224,1.224,33.34
1609711260,1.224,1.224,1.224,1.224,22.05
1609711320,1.224,1.224,1.224,1.224,25.06
1609711380,1.224,1.224,1.224,1.224,10.12
1609711440,1.224,1.224,1.223,1.223,24.71
1609711500,1.223,1.223,1.223,1.223,5.83
1609711560,1.223,1.223,1.223,1.223,10.72
1609711620,1.223,1.223,1.223,1.223,0.75
1609711680,1.223,1.223,1.223,1.223,10.16
1609711740,1.223,1.223,1.223,1.223,10.09
1609711800,1.223,1.223,1.223,1.223,0.95
1609711860,1.223,1.223,1.223,1.223,0.20
1609711920,1.223,1.223,1.223,1.223,1.87
1609712100,1.223,1.224,1.223,1.224,22.35
1609712160,1.224,1.224,1.224,1.224,9.56
1609712220,1.224,1.224,1.224,1.224,64.51
1609712280,1.224,1.224,1.224,1.224,14.20
1609712340,1.224,1.224,1.224,1.224,29.02
1609712400,1.224,1.224,1.223,1.224,35.84
1609712460,1.223,1.224,1.223,1.223,30.76
1609712520,1.223,1.224,1.223,1.223,18.11
1609712580,1.223,1.223,1.223,1.223,11.51
1609712640,1.223,1.223,1.223,1.223,30.03
1609712700,1.224,1.224,1.223,1.224,30.00
1609712760,1.224,1.224,1.224,1.224,20.90
1609712820,1.224,1.224,1.223,1.224,50.77
1609712880,1.224,1.224,1.223,1.224,59.36
1609712940,1.224,1.224,1.224,1.224,50.75
1609713000,1.224,1.224,1.223,1.223,196.38
1609713060,1.223,1.223,1.223,1.223,37.31
1609713120,1.223,1.224,1.223,1.224,61.36
1609713180,1.224,1.224,1.224,1.224,50.50
1609713240,1.224,1.224,1.224,1.224,25.59
1609713300,1.224,1.224,1.223,1.224,47.90
1609713360,1.224,1.224,1.224,1.224,113.93
1609713420,1.224,1.224,1.224,1.224,116.27
1609713480,1.224,1.224,1.224,1.224,188.94
1609713540,1.224,1.224,1.223,1.224,13.45
1609713600,1.224,1.224,1.224,1.224,10.69
1609713660,1.224,1.224,1.224,1.224,22.32
1609713720,1.224,1.224,1.224,1.224,25.25
1609713780,1.224,1.224,1.223,1.224,43.87
1609713840,1.224,1.224,1.223,1.223,31.48
1609713900,1.223,1.223,1.223,1.223,13.87
1609714020,1.223,1.223,1.223,1.223,2.61
1609714080,1.223,1.223,1.223,1.223,0.37
1609714200,1.223,1.223,1.223,1.223,0.37
1609714260,1.223,1.223,1.223,1.223,1.12
1609714320,1.223,1.223,1.223,1.223,2.24
1609714380,1.223,1.223,1.223,1.223,19.53
1609714500,1.223,1.223,1.223,1.223,10.66
1609714560,1.223,1.223,1.223,1.223,14.80
1609714620,1.223,1.223,1.223,1.223,7.10
1609714680,1.223,1.223,1.223,1.223,4.93
1609714740,1.223,1.223,1.223,1.223,8.83
1609714800,1.223,1.224,1.223,1.223,317.60
1609714860,1.223,1.223,1.223,1.223,80.29
1609714920,1.223,1.223,1.223,1.223,98.77
1609714980,1.223,1.224,1.223,1.223,156.86
1609715040,1.223,1.223,1.223,1.223,80.68
1609715100,1.223,1.223,1.223,1.223,91.64
1609715160,1.223,1.223,1.223,1.223,37.63
1609715220,1.223,1.224,1.223,1.224,117.52
1609715280,1.224,1.224,1.224,1.224,125.86
1609715340,1.224,1.224,1.224,1.224,165.53
1609715400,1.224,1.224,1.224,1.224,73.65
1609715460,1.224,1.224,1.224,1.224,85.37
1609715520,1.224,1.224,1.224,1.224,64.72
1609715580,1.224,1.224,1.224,1.224,51.13
1609715640,1.224,1.224,1.224,1.224,132.11
1609715700,1.224,1.224,1.224,1.224,99.04
1609715760,1.224,1.224,1.224,1.224,39.31
1609715820,1.224,1.224,1.224,1.224,73.21
1609715880,1.224,1.224,1.224,1.224,39.44
1609715940,1.224,1.224,1.224,1.224,56.21
1609716000,1.224,1.224,1.223,1.223,108.45
1609716060,1.223,1.224,1.223,1.223,56.32
1609716120,1.223,1.223,1.223,1.223,32.29
1609716180,1.223,1.224,1.223,1.224,34.48
1609716240,1.223,1.224,1.223,1.224,24.37
1609716300,1.224,1.224,1.224,1.224,34.46
1609716360,1.224,1.224,1.224,1.224,44.54
1609716420,1.224,1.224,1.224,1.224,16.72
1609716480,1.224,1.224,1.224,1.224,59.13
1609716540,1.224,1.224,1.224,1.224,49.82
1609716600,1.224,1.224,1.224,1.224,45.19
1609716660,1.224,1.224,1.224,1.224,57.27
1609716720,1.224,1.224,1.224,1.224,37.28
1609716780,1.224,1.224,1.224,1.224,88.33
1609716840,1.224,1.224,1.224,1.224,61.80
1609716900,1.224,1.224,1.224,1.224,54.01
1609716960,1.224,1.224,1.224,1.224,123.92
1609717020,1.224,1.224,1.224,1.224,108.62
1609717080,1.224,1.224,1.224,1.224,70.17
1609717140,1.224,1.224,1.224,1.224,102.31
1609717200,1.224,1.225,1.224,1.225,98.17
1609717260,1.225,1.225,1.225,1.225,107.28
1609717320,1.225,1.225,1.225,1.225,66.70
1609717380,1.225,1.225,1.225,1.225,178.30
1609717440,1.225,1.225,1.225,1.225,107.61
1609717500,1.225,1.225,1.224,1.225,206.58
1609717560,1.225,1.225,1.224,1.225,207.02
1609717620,1.225,1.225,1.225,1.225,76.97
1609717680,1.225,1.225,1.225,1.225,76.30
1609717740,1.225,1.225,1.225,1.225,100.56
1609717800,1.225,1.225,1.225,1.225,66.08
1609717860,1.225,1.225,1.225,1.225,90.47
1609717920,1.225,1.225,1.225,1.225,108.08
1609717980,1.225,1.225,1.225,1.225,161.06
1609718040,1.225,1.225,1.225,1.225,131.88
1609718100,1.225,1.225,1.225,1.225,51.98
1609718160,1.225,1.225,1.225,1.225,54.26
1609718220,1.225,1.225,1.225,1.225,88.68
1609718280,1.225,1.225,1.225,1.225,50.69
1609718340,1.225,1.225,1.225,1.225,59.55
1609718400,1.225,1.225,1.225,1.225,125.29
1609718460,1.225,1.225,1.224,1.225,161.96
1609718520,1.225,1.225,1.224,1.224,157.43
1609718580,1.224,1.225,1.224,1.224,95.00
