time,open,high,low,close,volume
1477958400,1.22349,1.22354,1.22329,1.22353,105.72
1477958460,1.22352,1.22366,1.22351,1.22359,28.25
1477958520,1.22358,1.22359,1.22319,1.22340,109.66
1477958580,1.22342,1.22351,1.22342,1.22350,21.12
1477958640,1.22350,1.22350,1.22330,1.22333,63.01
1477958700,1.22334,1.22344,1.22327,1.22332,147.23
1477958760,1.22333,1.22338,1.22323,1.22324,80.48
1477958820,1.22326,1.22352,1.22326,1.22346,99.11
1477958880,1.22342,1.22345,1.22326,1.22327,55.02
1477958940,1.22328,1.22333,1.22325,1.22329,46.22
1477959000,1.22329,1.22344,1.22328,1.22343,74.42
1477959060,1.22342,1.22343,1.22320,1.22325,76.53
1477959120,1.22324,1.22325,1.22324,1.22325,11.47
1477959180,1.22323,1.22325,1.22313,1.22314,39.35
1477959240,1.22313,1.22320,1.22306,1.22315,79.06
1477959300,1.22315,1.22323,1.22314,1.22315,59.51
1477959360,1.22314,1.22317,1.22304,1.22312,86.42
1477959420,1.22313,1.22315,1.22302,1.22312,98.38
1477959480,1.22313,1.22313,1.22298,1.22303,85.76
1477959540,1.22305,1.22309,1.22296,1.22296,74.32
1477959600,1.22296,1.22310,1.22296,1.22297,64.30
1477959660,1.22297,1.22300,1.22281,1.22284,85.67
1477959720,1.22284,1.22288,1.22247,1.22250,147.91
1477959780,1.22251,1.22269,1.22239,1.22267,190.38
1477959840,1.22268,1.22269,1.22261,1.22264,43.39
1477959900,1.22264,1.22269,1.22260,1.22264,37.40
1477959960,1.22263,1.22263,1.22249,1.22250,34.11
1477960020,1.22250,1.22259,1.22245,1.22257,54.04
1477960080,1.22257,1.22259,1.22247,1.22253,72.30
1477960140,1.22252,1.22252,1.22239,1.22243,51.21
1477960200,1.22246,1.22246,1.22241,1.22245,36.48
1477960260,1.22246,1.22246,1.22243,1.22243,35.60
1477960320,1.22243,1.22244,1.22233,1.22237,78.68
1477960380,1.22237,1.22253,1.22231,1.22235,115.43
1477960440,1.22235,1.22236,1.22229,1.22234,52.83
1477960500,1.22238,1.22239,1.22212,1.22214,96.40
1477960560,1.22212,1.22217,1.22203,1.22203,108.39
1477960620,1.22203,1.22224,1.22202,1.22224,109.51
1477960680,1.22228,1.22252,1.22221,1.22239,86.78
1477960740,1.22242,1.22245,1.22235,1.22235,78.10
