time,open,high,low,close,volume
1677628800,1.20324,1.20325,1.20297,1.20299,189.42
1677628860,1.20299,1.20299,1.20285,1.20286,279.90
1677628920,1.20286,1.20287,1.20271,1.20281,354.60
1677628980,1.20280,1.20284,1.20275,1.20275,291.15
1677629040,1.20276,1.20288,1.20275,1.20288,78.75
1677629100,1.20287,1.20289,1.20270,1.20273,129.60
1677629160,1.20273,1.20273,1.20246,1.20253,54.90
1677629220,1.20252,1.20269,1.20251,1.20266,30.60
1677629280,1.20266,1.20269,1.20260,1.20268,42.75
1677629340,1.20268,1.20276,1.20264,1.20276,54.90
1677629400,1.20276,1.20276,1.20257,1.20257,45.90
1677629460,1.20258,1.20260,1.20244,1.20244,50.17
1677629520,1.20245,1.20254,1.20238,1.20238,52.20
1677629580,1.20239,1.20261,1.20233,1.20258,95.79
1677629640,1.20257,1.20258,1.20242,1.20243,222.05
1677629700,1.20242,1.20255,1.20236,1.20236,226.73
1677629760,1.20236,1.20237,1.20217,1.20218,150.30
1677629820,1.20219,1.20235,1.20214,1.20234,103.05
1677629880,1.20234,1.20236,1.20200,1.20210,243.33
1677629940,1.20208,1.20213,1.20195,1.20206,103.05
1677630000,1.20204,1.20209,1.20197,1.20206,91.35
1677630060,1.20206,1.20222,1.20206,1.20217,70.20
1677630120,1.20218,1.20218,1.20202,1.20207,63.00
1677630180,1.20207,1.20208,1.20205,1.20206,101.70
1677630240,1.20205,1.20224,1.20204,1.20207,127.74
1677630300,1.20209,1.20217,1.20205,1.20216,41.40
1677630360,1.20215,1.20217,1.20213,1.20214,42.75
1677630420,1.20212,1.20223,1.20212,1.20216,71.10
1677630480,1.20216,1.20216,1.20199,1.20199,28.80
1677630540,1.20200,1.20206,1.20196,1.20196,41.34
1677630600,1.20197,1.20213,1.20173,1.20213,329.73
1677630660,1.20214,1.20230,1.20209,1.20230,91.80
1677630720,1.20229,1.20242,1.20220,1.20237,101.70
1677630780,1.20242,1.20249,1.20209,1.20218,112.95
1677630840,1.20218,1.20228,1.20211,1.20219,111.15
1677630900,1.20217,1.20230,1.20215,1.20224,127.80
1677630960,1.20225,1.20237,1.20220,1.20229,90.99
1677631020,1.20229,1.20236,1.20216,1.20217,64.29
1677631080,1.20217,1.20226,1.20215,1.20226,103.05
1677631140,1.20226,1.20226,1.20211,1.20218,72.54
1677631200,1.20217,1.20232,1.20195,1.20195,103.17
1677631260,1.20195,1.20207,1.20193,1.20201,136.96
1677631320,1.20200,1.20200,1.20176,1.20184,302.56
1677631380,1.20183,1.20189,1.20175,1.20176,197.76
1677631440,1.20171,1.20175,1.20154,1.20159,233.88
1677631500,1.20158,1.20185,1.20158,1.20180,57.60
1677631560,1.20179,1.20189,1.20174,1.20185,38.25
1677631620,1.20185,1.20199,1.20183,1.20195,68.40
1677631680,1.20195,1.20199,1.20193,1.20194,90.90
1677631740,1.20193,1.20197,1.20187,1.20197,67.50
1677631800,1.20197,1.20209,1.20194,1.20209,107.99
1677631860,1.20208,1.20209,1.20193,1.20195,50.40
1677631920,1.20195,1.20196,1.20165,1.20177,98.58
1677631980,1.20177,1.20178,1.20164,1.20167,79.65
1677632040,1.20167,1.20175,1.20152,1.20164,265.23
1677632100,1.20162,1.20164,1.20132,1.20142,407.45
1677632160,1.20143,1.20154,1.20139,1.20151,124.59
1677632220,1.20150,1.20155,1.20147,1.20149,91.12
1677632280,1.20150,1.20154,1.20137,1.20139,65.25
1677632340,1.20140,1.20158,1.20139,1.20155,66.15
1677632400,1.20155,1.20175,1.20150,1.20168,205.07
1677632460,1.20166,1.20203,1.20166,1.20191,66.60
1677632520,1.20189,1.20193,1.20180,1.20191,81.90
1677632580,1.20189,1.20192,1.20183,1.20185,78.30
1677632640,1.20184,1.20195,1.20182,1.20186,44.10
1677632700,1.20186,1.20188,1.20176,1.20179,79.65
1677632760,1.20180,1.20189,1.20173,1.20176,77.85
1677632820,1.20176,1.20198,1.20176,1.20193,48.15
1677632880,1.20191,1.20206,1.20188,1.20204,33.75
1677632940,1.20203,1.20216,1.20197,1.20203,125.10
1677633000,1.20203,1.20214,1.20188,1.20188,135.22
1677633060,1.20186,1.20188,1.20174,1.20183,62.55
1677633120,1.20184,1.20193,1.20181,1.20184,78.75
1677633180,1.20184,1.20189,1.20183,1.20185,42.57
1677633240,1.20187,1.20207,1.20186,1.20207,100.80
1677633300,1.20206,1.20215,1.20194,1.20197,197.55
1677633360,1.20198,1.20208,1.20193,1.20206,68.85
1677633420,1.20207,1.20215,1.20206,1.20215,81.90
1677633480,1.20214,1.20215,1.20206,1.20208,74.79
1677633540,1.20209,1.20211,1.20205,1.20207,35.10
1677633600,1.20210,1.20239,1.20209,1.20234,38.43
1677633660,1.20234,1.20256,1.20224,1.20228,55.51
1677633720,1.20227,1.20235,1.20224,1.20234,46.80
1677633780,1.20234,1.20251,1.20230,1.20251,72.90
1677633840,1.20250,1.20267,1.20247,1.20256,176.52
1677633900,1.20256,1.20257,1.20246,1.20252,97.20
1677633960,1.20252,1.20266,1.20248,1.20256,273.87
1677634020,1.20253,1.20256,1.20244,1.20253,165.87
1677634080,1.20255,1.20257,1.20239,1.20241,39.54
1677634140,1.20241,1.20242,1.20234,1.20242,48.60
1677634200,1.20243,1.20290,1.20243,1.20280,234.10
1677634260,1.20279,1.20315,1.20268,1.20315,181.21
1677634320,1.20313,1.20329,1.20311,1.20318,183.69
1677634380,1.20320,1.20335,1.20314,1.20314,234.70
1677634440,1.20315,1.20325,1.20309,1.20310,80.64
1677634500,1.20309,1.20311,1.20284,1.20288,53.10
1677634560,1.20288,1.20296,1.20278,1.20280,123.07
1677634620,1.20279,1.20289,1.20271,1.20271,117.90
1677634680,1.20271,1.20274,1.20264,1.20266,131.40
1677634740,1.20266,1.20295,1.20266,1.20288,59.85
1677634800,1.20288,1.20290,1.20265,1.20275,83.70
1677634860,1.20272,1.20305,1.20271,1.20295,112.48
1677634920,1.20294,1.20300,1.20291,1.20298,187.45
1677634980,1.20299,1.20309,1.20294,1.20296,211.94
1677635040,1.20297,1.20297,1.20272,1.20273,387.88
1677635100,1.20275,1.20297,1.20274,1.20293,375.75
1677635160,1.20294,1.20308,1.20291,1.20291,37.92
1677635220,1.20291,1.20296,1.20285,1.20292,128.86
1677635280,1.20293,1.20299,1.20286,1.20298,131.71
1677635340,1.20299,1.20301,1.20286,1.20298,152.10
1677635400,1.20296,1.20305,1.20291,1.20297,168.57
1677635460,1.20296,1.20318,1.20293,1.20310,143.10
1677635520,1.20310,1.20329,1.20305,1.20328,134.50
1677635580,1.20329,1.20368,1.20329,1.20359,205.96
1677635640,1.20359,1.20371,1.20352,1.20369,172.35
1677635700,1.20370,1.20372,1.20353,1.20353,121.95
1677635760,1.20352,1.20359,1.20338,1.20341,96.36
1677635820,1.20341,1.20344,1.20334,1.20343,94.83
1677635880,1.20343,1.20349,1.20341,1.20347,63.03
1677635940,1.20346,1.20350,1.20335,1.20338,36.12
1677636000,1.20338,1.20338,1.20329,1.20337,76.50
1677636060,1.20336,1.20336,1.20325,1.20327,49.14
1677636120,1.20327,1.20336,1.20325,1.20329,78.66
1677636180,1.20327,1.20328,1.20309,1.20316,76.05
1677636240,1.20317,1.20325,1.20307,1.20324,95.40
1677636300,1.20325,1.20334,1.20325,1.20332,37.79
1677636360,1.20331,1.20332,1.20327,1.20328,23.79
1677636420,1.20328,1.20330,1.20324,1.20329,36.39
1677636480,1.20327,1.20334,1.20322,1.20327,47.70
1677636540,1.20328,1.20335,1.20328,1.20328,50.40
1677636600,1.20327,1.20336,1.20323,1.20323,67.93
1677636660,1.20321,1.20321,1.20301,1.20306,206.01
1677636720,1.20304,1.20332,1.20304,1.20325,111.91
1677636780,1.20324,1.20325,1.20302,1.20303,182.11
1677636840,1.20304,1.20308,1.20303,1.20305,294.27
1677636900,1.20305,1.20309,1.20292,1.20292,143.10
1677636960,1.20294,1.20297,1.20291,1.20296,154.80
1677637020,1.20294,1.20302,1.20293,1.20293,18.90
1677637080,1.20293,1.20295,1.20290,1.20292,18.90
1677637140,1.20295,1.20302,1.20273,1.20281,146.70
1677637200,1.20281,1.20282,1.20272,1.20277,222.97
1677637260,1.20277,1.20286,1.20268,1.20283,63.45
1677637320,1.20281,1.20282,1.20265,1.20268,45.45
1677637380,1.20266,1.20269,1.20244,1.20252,209.25
1677637440,1.20252,1.20255,1.20240,1.20244,112.59
1677637500,1.20245,1.20252,1.20240,1.20243,31.73
1677637560,1.20242,1.20243,1.20235,1.20243,88.85
1677637620,1.20243,1.20248,1.20224,1.20224,68.35
1677637680,1.20224,1.20228,1.20211,1.20218,68.84
1677637740,1.20216,1.20233,1.20211,1.20226,76.80
1677637800,1.20224,1.20231,1.20222,1.20222,87.14
1677637860,1.20221,1.20228,1.20212,1.20222,96.34
1677637920,1.20221,1.20222,1.20181,1.20182,300.36
1677637980,1.20181,1.20188,1.20162,1.20173,120.31
1677638040,1.20173,1.20200,1.20169,1.20199,69.89
1677638100,1.20199,1.20222,1.20196,1.20212,114.52
1677638160,1.20212,1.20216,1.20210,1.20210,53.10
1677638220,1.20212,1.20228,1.20212,1.20225,52.57
1677638280,1.20226,1.20235,1.20220,1.20222,66.69
1677638340,1.20223,1.20228,1.20214,1.20225,124.87
1677638400,1.20225,1.20228,1.20222,1.20225,311.85
1677638460,1.20225,1.20227,1.20215,1.20215,64.89
1677638520,1.20217,1.20234,1.20217,1.20234,154.92
1677638580,1.20235,1.20245,1.20234,1.20244,70.74
1677638640,1.20248,1.20261,1.20248,1.20254,162.21
1677638700,1.20254,1.20259,1.20245,1.20248,489.81
1677638760,1.20248,1.20255,1.20242,1.20247,195.57
1677638820,1.20246,1.20252,1.20241,1.20243,127.77
1677638880,1.20243,1.20246,1.20242,1.20246,397.62
1677638940,1.20244,1.20245,1.20230,1.20234,354.00
1677639000,1.20232,1.20238,1.20232,1.20234,53.67
1677639060,1.20233,1.20233,1.20211,1.20213,252.93
1677639120,1.20212,1.20230,1.20208,1.20222,128.30
1677639180,1.20223,1.20243,1.20220,1.20243,82.20
1677639240,1.20242,1.20243,1.20237,1.20237,256.23
1677639300,1.20239,1.20246,1.20239,1.20242,156.24
1677639360,1.20242,1.20243,1.20240,1.20242,113.40
1677639420,1.20243,1.20243,1.20238,1.20239,56.70
1677639480,1.20238,1.20246,1.20238,1.20243,28.11
1677639540,1.20245,1.20256,1.20243,1.20255,81.57
1677639600,1.20255,1.20259,1.20237,1.20238,148.02
1677639660,1.20238,1.20245,1.20233,1.20244,105.30
1677639720,1.20245,1.20256,1.20245,1.20252,60.30
1677639780,1.20253,1.20255,1.20248,1.20254,64.80
1677639840,1.20255,1.20265,1.20253,1.20261,72.00
1677639900,1.20260,1.20262,1.20252,1.20252,61.20
1677639960,1.20250,1.20265,1.20250,1.20262,77.80
1677640020,1.20262,1.20291,1.20260,1.20284,94.71
1677640080,1.20285,1.20296,1.20285,1.20287,81.90
1677640140,1.20287,1.20307,1.20286,1.20298,79.65
1677640200,1.20297,1.20308,1.20296,1.20300,53.10
1677640260,1.20301,1.20301,1.20285,1.20289,90.31
1677640320,1.20291,1.20296,1.20287,1.20294,101.25
1677640380,1.20294,1.20295,1.20290,1.20293,80.10
1677640440,1.20293,1.20296,1.20284,1.20284,44.55
1677640500,1.20282,1.20297,1.20282,1.20296,43.42
1677640560,1.20294,1.20303,1.20287,1.20303,41.40
1677640620,1.20304,1.20307,1.20303,1.20306,43.20
1677640680,1.20306,1.20320,1.20306,1.20316,55.35
1677640740,1.20316,1.20316,1.20307,1.20307,57.09
1677640800,1.20308,1.20319,1.20302,1.20319,54.00
1677640860,1.20321,1.20348,1.20321,1.20336,117.66
1677640920,1.20336,1.20343,1.20334,1.20337,81.54
1677640980,1.20338,1.20364,1.20338,1.20356,91.35
1677641040,1.20355,1.20360,1.20352,1.20359,56.43
1677641100,1.20358,1.20374,1.20354,1.20374,41.40
1677641160,1.20372,1.20383,1.20369,1.20381,110.70
1677641220,1.20379,1.20387,1.20378,1.20385,128.24
1677641280,1.20383,1.20397,1.20383,1.20397,141.75
1677641340,1.20397,1.20409,1.20392,1.20404,189.00
1677641400,1.20405,1.20405,1.20393,1.20395,78.30
1677641460,1.20394,1.20405,1.20394,1.20404,37.02
